Ref Des,Mid X (mm),Mid Y (mm),Rotation,Comment,Package
5V,41.66,36.2,0,PAD,2.54_1.0
C1,54.87,-4.45,180,1 uF,CAPC1608X85
C10,-50.16,26.06,242.8,1 uF,CAPC1608X85
C11,-52,20.01,344.3,1 uF,CAPC1608X85
C12,-56.27,-5.21,274.5,1 uF,CAPC1608X85
C13,-54.15,-11.25,17.3,1 uF,CAPC1608X85
C14,-44.45,-34.7,308.2,1 uF,CAPC1608X85
C15,-39.48,-38.45,48.3,1 uF,CAPC1608X85
C16,-18.38,-53.18,341.2,1 uF,CAPC1608X85
C17,-12.31,-54.05,79.7,1 uF,CAPC1608X85
C18,13.07,-54.69,13.7,1 uF,CAPC1608X85
C19,18.76,-52.04,114.3,1 uF,CAPC1608X85
C2,52.5,20.77,109.9,1 uF,CAPC1608X85
C20,40.75,-39.09,44.7,1 uF,CAPC1608X85
C21,43.94,-33.43,145.8,1 uF,CAPC1608X85
C22,55.42,-10.87,78.7,1 uF,CAPC1608X85
C3,48.77,25.93,213.1,1 uF,CAPC1608X85
C4,32.75,46.07,143.2,1 uF,CAPC1608X85
C5,27.02,48.35,244.5,1 uF,CAPC1608X85
C6,2.91,56.47,177.5,1 uF,CAPC1608X85
C7,-3.42,55.2,277,1 uF,CAPC1608X85
C8,-28.03,48.94,211.3,1 uF,CAPC1608X85
C9,-32.88,45.18,306.2,1 uF,CAPC1608X85
D1,54.8,0,270,WS2812B,WS2812B
D10,-46.1,29.63,57.3,WS2812B,WS2812B
D11,-52.58,15.44,73.7,WS2812B,WS2812B
D12,-54.8,0,90,WS2812B,WS2812B
D13,-52.58,-15.44,106.3,WS2812B,WS2812B
D14,-46.1,-29.63,122.7,WS2812B,WS2812B
D15,-35.89,-41.42,139.1,WS2812B,WS2812B
D16,-22.76,-49.85,155.5,WS2812B,WS2812B
D17,-7.8,-54.24,171.8,WS2812B,WS2812B
D18,7.8,-54.24,188.2,WS2812B,WS2812B
D19,22.76,-49.85,204.5,WS2812B,WS2812B
D2,52.58,15.44,286.3,WS2812B,WS2812B
D20,35.89,-41.42,220.9,WS2812B,WS2812B
D21,46.1,-29.63,237.3,WS2812B,WS2812B
D22,52.58,-15.44,253.7,WS2812B,WS2812B
D3,46.1,29.63,302.7,WS2812B,WS2812B
D4,35.89,41.42,319.1,WS2812B,WS2812B
D5,22.76,49.85,335.5,WS2812B,WS2812B
D6,7.8,54.24,351.8,WS2812B,WS2812B
D7,-7.8,54.24,8.2,WS2812B,WS2812B
D8,-22.76,49.85,24.5,WS2812B,WS2812B
D9,-35.89,41.42,40.9,WS2812B,WS2812B
DIN,54.6,8.34,0,PAD,2.54_1.0
GND,50.16,-23.11,0,PAD,2.54_1.0
R1,53.61,-7.87,171.9,470,RESC1608X60
